"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"DJX","solvency",5,"3","sharpe_ann",0.3,FALSE,""
"DJX","solvency",5,"3","alpha_ann",1.94,FALSE,""
"DJX","solvency",5,"3","beta",0.5,FALSE,""
"DJX","solvency",5,"3","hsd_ann",13.65,FALSE,""
"DJX","solvency",5,"3","appraisal_ann",0.14,FALSE,""
"DJX","solvency",5,"5","mean_ann",3.88,FALSE,""
"DJX","solvency",5,"5","sd_ann",13.43,FALSE,""
"DJX","solvency",5,"5","sharpe_ann",0.29,FALSE,""
"DJX","solvency",5,"5","alpha_ann",1.6,FALSE,""
"DJX","solvency",5,"5","beta",0.38,FALSE,""
"DJX","solvency",5,"5","hsd_ann",11.48,FALSE,""
"DJX","solvency",5,"5","appraisal_ann",0.14,FALSE,""
"SPX","small_position_limit",2,"Small","mean_ann",3.18,FALSE,""
"SPX","small_position_limit",2,"Small","sd_ann",4.22,FALSE,""
"SPX","small_position_limit",2,"Small","sharpe_ann",0.75,FALSE,""
"SPX","small_position_limit",2,"Small","alpha_ann",2.49,FALSE,""
"SPX","small_position_limit",2,"Small","beta",0.1,FALSE,""
"SPX","small_position_limit",2,"Small","hsd_ann",3.86,FALSE,""
"SPX","small_position_limit",2,"Small","appraisal_ann",0.64,FALSE,""
"SPX","small_position_limit",3,"Small","mean_ann",4.77,FALSE,""
"SPX","small_position_limit",3,"Small","sd_ann",6.34,FALSE,""
"SPX","small_position_limit",3,"Small","sharpe_ann",0.75,FALSE,""
"SPX","small_position_limit",3,"Small","alpha_ann",3.73,FALSE,""
"SPX","small_position_limit",3,"Small","beta",0.14,FALSE,""
"SPX","small_position_limit",3,"Small","hsd_ann",5.79,FALSE,""
"SPX","small_position_limit",3,"Small","appraisal_ann",0.64,FALSE,""
"SPX","small_position_limit",5,"Small","mean_ann",7.95,FALSE,""
"SPX","small_position_limit",5,"Small","sd_ann",10.56,FALSE,""
"SPX","small_position_limit",5,"Small","sharpe_ann",0.75,FALSE,""
"SPX","small_position_limit",5,"Small","alpha_ann",6.22,FALSE,""
"SPX","small_position_limit",5,"Small","beta",0.24,FALSE,""
"SPX","small_position_limit",5,"Small","hsd_ann",9.65,FALSE,""
"SPX","small_position_limit",5,"Small","appraisal_ann",0.64,FALSE,""
