"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"2016-2020","SPX options",3,1,"beta",0.51,FALSE,""
"2016-2020","SPX options",3,1,"hsd_ann",11.43,FALSE,""
"2016-2020","SPX options",3,1,"appraisal_ann",0.01,FALSE,""
"2016-2020","SPX options",3,3,"mean_ann",8.45,FALSE,""
"2016-2020","SPX options",3,3,"sd_ann",15.06,FALSE,""
"2016-2020","SPX options",3,3,"sharpe_ann",0.56,FALSE,""
"2016-2020","SPX options",3,3,"alpha_ann",0.99,FALSE,""
"2016-2020","SPX options",3,3,"beta",0.47,FALSE,""
"2016-2020","SPX options",3,3,"hsd_ann",11.29,FALSE,""
"2016-2020","SPX options",3,3,"appraisal_ann",0.09,FALSE,""
"2016-2020","SPX options",3,5,"mean_ann",9.81,FALSE,""
"2016-2020","SPX options",3,5,"sd_ann",10.62,FALSE,""
"2016-2020","SPX options",3,5,"sharpe_ann",0.92,FALSE,""
"2016-2020","SPX options",3,5,"alpha_ann",4.73,FALSE,""
"2016-2020","SPX options",3,5,"beta",0.32,FALSE,""
"2016-2020","SPX options",3,5,"hsd_ann",8.16,FALSE,""
"2016-2020","SPX options",3,5,"appraisal_ann",0.58,FALSE,""
"2016-2020","SPX options",5,1,"mean_ann",11.29,FALSE,""
"2016-2020","SPX options",5,1,"sd_ann",34.14,FALSE,""
"2016-2020","SPX options",5,1,"sharpe_ann",0.33,FALSE,""
"2016-2020","SPX options",5,1,"alpha_ann",-5.98,FALSE,""
"2016-2020","SPX options",5,1,"beta",1.08,FALSE,""
"2016-2020","SPX options",5,1,"hsd_ann",25.14,FALSE,""
"2016-2020","SPX options",5,1,"appraisal_ann",-0.24,FALSE,""
"2016-2020","SPX options",5,3,"mean_ann",17.23,FALSE,""
"2016-2020","SPX options",5,3,"sd_ann",18.72,FALSE,""
"2016-2020","SPX options",5,3,"sharpe_ann",0.92,FALSE,""
"2016-2020","SPX options",5,3,"alpha_ann",8.3,FALSE,""
"2016-2020","SPX options",5,3,"beta",0.56,FALSE,""
"2016-2020","SPX options",5,3,"hsd_ann",14.41,FALSE,""
"2016-2020","SPX options",5,3,"appraisal_ann",0.58,FALSE,""
"2016-2020","SPX options",5,5,"mean_ann",19.45,FALSE,""
"2016-2020","SPX options",5,5,"sd_ann",12.06,FALSE,""
"2016-2020","SPX options",5,5,"sharpe_ann",1.61,FALSE,""
"2016-2020","SPX options",5,5,"alpha_ann",14.07,FALSE,""
"2016-2020","SPX options",5,5,"beta",0.34,FALSE,""
"2016-2020","SPX options",5,5,"hsd_ann",9.69,FALSE,""
"2016-2020","SPX options",5,5,"appraisal_ann",1.45,FALSE,""
"2016-2020","SPX index",NA,NA,"mean_ann",16,FALSE,""
"2016-2020","SPX index",NA,NA,"sd_ann",21.4,FALSE,""
"2016-2020","SPX index",NA,NA,"sharpe_ann",0.75,FALSE,""
